Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Aksesuar,Altın (İşlenmemiş),,9.0
Aksesuar,Atkı & Bere & Eldiven,Atkı,21.36
Aksesuar,Atkı & Bere & Eldiven,Bere,21.36
Aksesuar,Atkı & Bere & Eldiven,Eldiven,21.36
Aksesuar,Atkı & Bere & Eldiven,Şal & Fular,21.36
Aksesuar,Diğer Aksesuar,Kemer,22.37
Aksesuar,Diğer Aksesuar,Saç Aksesuarı,22.37
Aksesuar,Diğer Aksesuar,Kravat,22.37
Aksesuar,Diğer Aksesuar,Şapka,22.37
Aksesuar,Gözlük,Güneş Gözlüğü,21.36
Aksesuar,Mücevher,Mücevher,21.36
Aksesuar,Saat,Saat,21.36
Aksesuar,Takı,Bijuteri,22.37
Aksesuar,Takı,Çelik,22.37
Aksesuar,Takı,Gümüş Takılar,22.37
Ayakkabı & Çanta,Ayakkabı,Tüm Ayakkabılar,23.39
Ayakkabı & Çanta,Çanta,Tüm Çantalar,21.36
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe & Balkon Isıtma,21.5
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Aydınlatması,21.5
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Dekorasyonu,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Makine Yağları,17.0
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Makineleri,14.5
Bahçe & Elektrikli El Aletleri,Bahçe,Bungalov ve Prefabrik Evler,11.0
Bahçe & Elektrikli El Aletleri,Bahçe,Çim Biçme Makineleri,13.0
Bahçe & Elektrikli El Aletleri,Bahçe,Dekoratif Ürünler,20.5
Bahçe & Elektrikli El Aletleri,Bahçe,El Aletleri,15.5
Bahçe & Elektrikli El Aletleri,Bahçe,Havuz Ürünleri,17.5
Bahçe & Elektrikli El Aletleri,Bahçe,Hayvancılık Makineleri,14.5
Bahçe & Elektrikli El Aletleri,Bahçe,Küçük El Aletleri,17.0
Bahçe & Elektrikli El Aletleri,Bahçe,Mangallar ve Aksesuarları,17.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,El Aletleri ve Aksesuarları,15.5
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Ölçüm Cihazları,15.5
Bahçe & Elektrikli El Aletleri,Enerji Sistemleri,Güneş Paneli ve Jeneratör,15.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Banyo Bataryası ve Lavabo,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Klozet,17.5
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Su Arıtma,13.5
Banyo Yapı & Hırdavat,Boya,Boya & Boya Malzemeleri,17.5
Banyo Yapı & Hırdavat,Elektrik & Tesisat,Ampul,16.0
Banyo Yapı & Hırdavat,Elektrik & Tesisat,Elektrik ve Aydınlatma,16.5
Banyo Yapı & Hırdavat,Elektrik & Tesisat,Güvenlik Ürünleri,18.0
Banyo Yapı & Hırdavat,Hırdavat,El Aletleri,15.5
Banyo Yapı & Hırdavat,Hırdavat,Hırdavat ve İnşaat Malzemeleri,17.5
Banyo Yapı & Hırdavat,Hırdavat,Isınma & Soğutma Sistemi,13.5
Çocuk,Bebek Banyo & Tuvalet,Bebek Banyo Aksesuarları,16.5
Çocuk,Bebek Banyo & Tuvalet,Bebek Küveti,16.5
Çocuk,Bebek Banyo & Tuvalet,Klozet Adaptörü & Lazımlık,16.5
Çocuk,Bebek Beslenme/Emzirme,Alıştırma Bardakları,16.5
Çocuk,Bebek Beslenme/Emzirme,Bebek Beslenme Aksesuarları,16.5
Çocuk,Bebek Beslenme/Emzirme,Biberon/Emzik,16.5
Çocuk,Bebek Beslenme/Emzirme,Göğüs Pompaları,16.5
Çocuk,Bebek Odası ve Tekstili,Diğer Oda Aksesuarları,16.5
Çocuk,Çocuk Gereçleri,Ana Kucağı,17.0
Çocuk,Çocuk Gereçleri,Arabada Güvenlik,16.5
Çocuk,Çocuk Gereçleri,Bebek Arabası ve Puset,16.5
Çocuk,Çocuk Gereçleri,Bebek Bakım Çantası,16.5
Çocuk,Çocuk Gereçleri,Bebek Salıncağı & Hoppala,17.0
Çocuk,Çocuk Gereçleri,Çocuk Salıncak,17.0
Çocuk,Çocuk Gereçleri,Güvenlik Kapısı,16.5
Çocuk,Çocuk Gereçleri,Koruyucu Tekstil,16.5
Çocuk,Çocuk Gereçleri,Onarılmış Bebek Arabası,3.5
Çocuk,Çocuk Gereçleri,Oto Koltuğu,16.5
Çocuk,Çocuk Gereçleri,Oto Koltuğu Aksesuarları,16.5
Çocuk,Oyuncak,Ahşap Oyuncaklar,16.5
Çocuk,Oyuncak,Akülü Araçlar,16.5
Çocuk,Oyuncak,Bebek & Eğitici Oyuncaklar,16.5
Çocuk,Oyuncak,Çocuk Bisikleti,13.0
Çocuk,Oyuncak,Çocuk Kask ve Güvenlik,13.0
Çocuk,Oyuncak,Çocuk Kaykay ve Scooter,13.0
Çocuk,Oyuncak,Çocuk Puzzle / Yapboz,16.5
Çocuk,Oyuncak,Deniz ve Plaj Oyuncakları,16.5
Çocuk,Oyuncak,Figür Oyuncaklar,16.5
Çocuk,Oyuncak,Kutu Oyunları,16.5
Çocuk,Oyuncak,Lego & Yapı Oyuncakları,16.5
Çocuk,Oyuncak,Onarılmış Çocuk Bisikleti,3.5
Çocuk,Oyuncak,Oyuncak Bebek ve Aksesuarları,16.5
Çocuk,Oyuncak,Oyuncak Silah ve Bahçe Oyuncakları,16.5
Çocuk,Oyuncak,Pedallı Araçlar,16.5
Çocuk,Oyuncak,Şişme Havuz & Aksesuarları,16.5
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Abonelikler,10.17
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Dijital Hediye Kartları,5.0
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Dijital Yayın Paketleri,10.17
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Hizmet Paketleri,10.17
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Ön Ödemeli Kartlar,10.17
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Online Eğitim Uygulamaları,10.17
Dijital Kod & Ürünler,Dijital Kod & Ürünler,Oyun İçi Bakiyeler,7.5
E-Kitap Okuyucu,E-Kitap Okuyucu,E-Kitap Okuyucu,9.5
Elektronik,Beyaz Eşya & TV,Ankastre ve Fırınlar,14.0
Elektronik,Beyaz Eşya & TV,Beyaz Eşya Yedek Parça,18.0
Elektronik,Beyaz Eşya & TV,Buzdolabı ve Çamaşır Makinesi,11.0
Elektronik,Beyaz Eşya & TV,Televizyon,8.0
Elektronik,Bilgisayar Grubu,Anakart ve İşlemci,10.0
Elektronik,Bilgisayar Grubu,Bilgisayar Yedek Parça,15.5
Elektronik,Bilgisayar Grubu,Dizüstü Bilgisayar,7.5
Elektronik,Bilgisayar Grubu,Yazıcı ve Tarayıcı,12.0
Elektronik,Bilgisayar Grubu,Masaüstü Bilgisayar,8.5
Elektronik,Bilgisayar Grubu,Monitör,8.5
Elektronik,Bilgisayar Grubu,Server Donanımı,11.0
Elektronik,Dijital Kod & Ürünler,Dijital Destek Kartları,0.0
Elektronik,Dijital Kod & Ürünler,Dijital Kart & Kupon,10.17
Elektronik,Dijital Kod & Ürünler,Dijital Üyelik,10.17
Elektronik,Dijital Kod & Ürünler,Hizmetler,10.17
Elektronik,Elektrikli Ev Aletleri,Akıllı Aydınlatma Ürünleri,17.0
Elektronik,Elektrikli Ev Aletleri,Süpürgeler,12.0
Elektronik,Elektrikli Ev Aletleri,Elektrikli Ev Aletleri Yedek Parça,21.0
Elektronik,Elektrikli Ev Aletleri,Espresso & Kahve Makinesi,15.0
Elektronik,Elektrikli Ev Aletleri,Hava Temizleme Cihazları,16.0
Elektronik,Elektrikli Ev Aletleri,Ütü,14.5
Elektronik,Elektrikli Ev Aletleri,Halı Yıkama Makineleri,14.5
Elektronik,Elektrikli Ev Aletleri,Mutfak Aletleri,15.0
Elektronik,Elektronik Aksesuarlar,Akıllı Bileklik Aksesuarları,22.0
Elektronik,Elektronik Aksesuarlar,Akıllı Priz ve Kamera,11.0
Elektronik,Elektronik Aksesuarlar,Akıllı Takip Cihazları,18.0
Elektronik,Elektronik Aksesuarlar,Araç İçi Telefon Tutucu,18.5
Elektronik,Elektronik Aksesuarlar,Kablo & Adaptör,17.0
Elektronik,Elektronik Aksesuarlar,Kulaklık Aksesuarları,28.0
Elektronik,Elektronik Aksesuarlar,Kapak & Kılıf,27.0
Elektronik,Elektronik Aksesuarlar,Kartuş ve Tonerler,14.5
Elektronik,Elektronik Aksesuarlar,Klavye Mouse Set,12.0
Elektronik,Elektronik Aksesuarlar,Klavye ve Mouse,12.0
Elektronik,Elektronik Aksesuarlar,Konsol Gamepad,12.0
Elektronik,Elektronik Aksesuarlar,Monitör Aparatı,21.0
Elektronik,Elektronik Aksesuarlar,Mousepad,14.5
