Kategori,Alt Kategori,Ürün Grubu,Kategori Komisyon %,Seviye 5 Komisyon %,Seviye 4 Komisyon %,Kadın Girişimci Komisyon %
Aksesuar,Altın (İşlenmemiş),,9.00%,,,
Aksesuar,Atkı & Bere & Eldiven,"Atkı, Bere, Eldiven, Şal & Fular",21.36%,17.97%,,4.27%
Aksesuar,Diğer Aksesuar,"Kemer, Saç Aksesuarı, Kravat, Şapka",22.37%,17.96%,,4.47%
Aksesuar,Gözlük,Güneş Gözlüğü,21.36%,18.31%,,4.27%
Aksesuar,Mücevher,Mücevher,21.36%,17.97%,,4.27%
Aksesuar,Saat,Saat,21.36%,18.65%,,4.27%
Aksesuar,Takı,"Bijuteri, Çelik, Gümüş Takılar",22.37%,19.66%,,4.47%
Ayakkabı & Çanta,Ayakkabı,Tüm Ayakkabılar,23.39%,20.00%,,4.68%
Ayakkabı & Çanta,Çanta,Tüm Çantalar,21.36%,18.65%,,4.27%
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe & Balkon Isıtma,21.50%,17.50%,17.50%,4.30%
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Aydınlatması,21.50%,17.50%,17.50%,4.30%
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Dekorasyonu,17.50%,14.00%,14.00%,3.50%
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Makine Yağları,17.00%,14.00%,14.00%,3.40%
Bahçe & Elektrikli El Aletleri,Bahçe,Bahçe Makineleri,14.50%,11.50%,11.50%,2.90%
Bahçe & Elektrikli El Aletleri,Bahçe,Bungalov ve Prefabrik Evler,11.00%,9.00%,9.00%,2.20%
Bahçe & Elektrikli El Aletleri,Bahçe,Çim Biçme Makineleri,13.00%,9.50%,9.50%,2.60%
Bahçe & Elektrikli El Aletleri,Bahçe,Dekoratif Ürünler,20.50%,16.50%,16.50%,4.10%
Bahçe & Elektrikli El Aletleri,Bahçe,El Aletleri,15.50%,12.50%,12.50%,3.10%
Bahçe & Elektrikli El Aletleri,Bahçe,Havuz Ürünleri,17.50%,14.00%,14.00%,3.50%
Bahçe & Elektrikli El Aletleri,Bahçe,Hayvancılık Makineleri,14.50%,11.50%,11.50%,2.90%
Bahçe & Elektrikli El Aletleri,Bahçe,Küçük El Aletleri,17.00%,13.50%,13.50%,3.40%
Bahçe & Elektrikli El Aletleri,Bahçe,Mangallar ve Aksesuarları,17.50%,12.50%,12.50%,3.50%
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,El Aletleri ve Aksesuarları,15.50%,12.50%,12.50%,3.10%
Bahçe & Elektrikli El Aletleri,Elektrikli El Aletleri,Ölçüm Cihazları,15.50%,12.50%,12.50%,3.10%
Bahçe & Elektrikli El Aletleri,Enerji Sistemleri,Güneş Paneli ve Jeneratör,15.50%,12.50%,12.50%,3.10%
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Banyo Bataryası ve Lavabo,17.50%,14.00%,14.00%,3.50%
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Klozet,17.50%,12.50%,12.50%,3.50%
Banyo Yapı & Hırdavat,Banyo Yapı Malzemeleri,Su Arıtma,13.50%,9.00%,9.00%,2.70%
Banyo Yapı & Hırdavat,Boya,Boya & Boya Malzemeleri,17.50%,14.00%,14.00%,3.50%
Banyo Yapı & Hırdavat,Elektrik & Tesisat,Ampul,16.00%,12.50%,12.50%,3.20%
Banyo Yapı & Hırdavat,Elektrik & Tesisat,Elektrik ve Aydınlatma,16.50%,13.50%,13.50%,3.30%
Banyo Yapı & Hırdavat,Elektrik & Tesisat,Güvenlik Ürünleri,18.00%,14.50%,14.50%,3.60%
Banyo Yapı & Hırdavat,Hırdavat,El Aletleri,15.50%,12.50%,12.50%,3.10%
Banyo Yapı & Hırdavat,Hırdavat,Hırdavat ve İnşaat Malzemeleri,17.50%,14.00%,14.00%,3.50%
Banyo Yapı & Hırdavat,Hırdavat,Isınma & Soğutma Sistemi,13.50%,11.00%,11.00%,2.70%
Çocuk,Bebek Banyo & Tuvalet,Bebek Banyo Aksesuarları,16.50%,13.00%,13.00%,3.30%
